Localidade,Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Participação no ESLOC (%),Participação no DF (%),Participação no ESLOC (%),Participação no DF (%).1,Producão   (toneladas)
Alexandre Gusmão,Alface,"310,00","17,15","24,25","4.797,50","9,51",
Alexandre Gusmão,Mandioca,"186,22","10,30","18,29","3.114,24","6,17",
Alexandre Gusmão,Brócolis - Cabeça Única,"183,85","10,17","43,95","2.571,55","5,10",
Alexandre Gusmão,Repolho,"86,82","4,80","24,68","4.472,60","8,87",
Alexandre Gusmão,Couve,"71,59","3,96","35,66","4.735,00","9,39",
Alexandre Gusmão,Cebolinha,"63,80","3,53","37,10","1.395,42","2,77",
Alexandre Gusmão,Tomate,"61,74","3,42","14,62","5.886,70","11,67",
Alexandre Gusmão,Chuchu,"61,10","3,38","32,99","7.326,00","14,52",
Alexandre Gusmão,Brócolis - Ramoso,"41,00","2,27","26,17","1.223,40","2,43",
Alexandre Gusmão,Pimentão,"25,33","1,40","14,73","2.083,82","4,13",
Alexandre Gusmão,Brazlândia,"1.078,68","100,00","12,1","29.813,72","100,00",
Brazlândia,Morango,"135,45","12,56","76,51","5.174,62","17,36",
Brazlândia,Alface,"113,43","10,52","8,87","1.775,39","5,95",
Brazlândia,Repolho,"82,75","7,67","23,53","3.160,88","10,60",
Brazlândia,Abóbora italiana,"72,32","6,70","29,86","1.001,40","3,36",
Brazlândia,Mandioca,"70,11","6,50","6,88","1.215,60","4,08",
Brazlândia,Brócolis - Cabeça Única,"63,50","5,89","15,18","942,34","3,16",
Brazlândia,Chuchu,"51,34","4,76","27,72","3.903,80","13,09",
Brazlândia,Tomate,"36,60","3,39","8,66","3.080,62","10,33",
Brazlândia,Pimentão,"27,33","2,53","15,89","1.843,78","6,18",
Brazlândia,Couve,"18,93","1,75","9,43","966,75","3,24",
Brazlândia,Ceilândia,"1.503,52","100,00","16,86","42.880,08","100,00",
Ceilândia,Alface,"308,10","20,49","24,10","5.161,75","12,04",
Ceilândia,Mandioca,"165,30","10,99","16,23","4.065,00","9,48",
Ceilândia,Milho-verde,"120,50","8,01","19,08","1.203,00","2,81",
Ceilândia,Brócolis - Cabeça Única,"100,31","6,67","23,98","1.804,60","4,21",
Ceilândia,Repolho,"62,70","4,17","17,83","3.750,00","8,75",
Ceilândia,Brócolis - Ramoso,"62,10","4,13","39,63","1.862,80","4,34",
Ceilândia,Batata-doce,"56,80","3,78","28,03","1.593,00","3,72",
Ceilândia,Chuchu,"54,02","3,59","29,16","7.562,00","17,64",
Ceilândia,Couve,"45,35","3,02","22,59","3.179,00","7,41",
